No.,State,Name of reporting district,Math test participants,Math performance,Year,Reading test participants,Reading perfomance,Total students ,Total revenues,Current expenditures  ,"Current 
expenditures
per pupil","Total
expenditures
per pupil"
61,Arizona,Tucson unified school district,28831,46,2009,28884,67,57391,504272,457019,7963.2521,9490.7041
62,California,Capistrano unified school district,28539,70,2009,28565,73,52681,455566,406099,7708.6426,8228.3176
63,California,Elk grove unified school district,33352,59,2009,33462,58,62172,585025,537335,8642.717,9432.9763
64,California,Fresno unified school district,38693,46,2009,38771,39,76621,835948,721401,9415.1864,10288.119
65,California,Garden grove unified school district,26231,65,2009,26206,55,48574,457636,441568,9090.6246,9381.7063
66,California,Long beach unified school district,45414,56,2009,45377,51,87509,906642,801120,9154.7155,9968.6204
67,California,Los angeles unified school district,355121,47,2009,354300,42,687534,9695990,7636872,11107.628,15332.338
68,California,Sacramento city unified school district,24970,55,2009,25034,50,48155,542503,471058,9782.1202,11426.955
69,California,San bernardino city unified school district,28612,42,2009,28653,37,54727,647553,542438,9911.7072,12406.417
70,California,San francisco unified school district,27676,61,2009,27675,57,55183,723906,551270,9989.8519,14096.171
71,California,Santa ana unified school district,29819,52,2009,29886,41,57439,608210,510664,8890.5448,10236.181
72,Florida,Brevard county school district,43079,77,2009,43128,72,73098,675705,602371,8240.5948,10908.561
73,Florida,Broward county school district,153944,71,2009,154142,63,256351,2513314,2365072,9225.9129,11825.973
74,Florida,Duval county school district,71833,63,2009,72101,57,122606,1148276,1053519,8592.7198,10177.332
75,Florida,Hillsborough county school district,116318,67,2009,116210,61,192007,1905911,1645308,8569.0001,10910.196
76,Florida,Lee county school district,47175,67,2009,47227,63,79434,858184,717883,9037.4777,11283.619
77,Florida,Osceola county school district,31430,59,2009,31467,55,51941,500150,429657,8272.0202,10917.503
78,Florida,Palm beach county school district,104092,72,2009,104236,63,170757,1944936,1587281,9295.5545,12433.569
79,Florida,Pinellas county school district,62197,66,2009,62301,62,106061,1068296,944508,8905.3281,10874.421
80,Florida,Polk county school district,56167,61,2009,56247,55,94657,915097,815185,8611.9885,10270.408
81,Florida,Seminole county school district,39646,78,2009,39686,72,64927,580536,510274,7859.1957,9262.3716
82,Florida,Volusia county school district,37848,65,2009,37945,62,63018,627597,518461,8227.1891,10975.737
83,Georgia,Atlanta public schools,24779,69,2009,25020,86,49032,857196,681465,13898.372,18213.269
84,Georgia,Clayton county school district,26517,73,2009,26825,88,49508,543400,506238,10225.378,11673.548
85,Georgia,Cobb county school district,56312,86,2009,56673,94,106747,1107472,1011011,9471.0952,10179.911
86,Georgia,Dekalb county school district,50641,71,2009,50793,86,99775,1168643,1025744,10280.571,11572.478
87,Georgia,Gwinnett county school district,83931,87,2009,84369,94,157219,1666446,1492483,9493.0193,11948.238
88,Michigan,Detroit city school district,40255,58,2009,40493,65,97577,1294223,1209281,12393.095,13595.806
89,Nevada,Clark county school district,164601,64,2009,164777,66,312761,3179037,2539486,8119.5737,10520.912
90,Nevada,Washoe county school district,34250,70,2009,34241,71,65421,647707,552403,8443.8177,10261.246
91,New mexico,Albuquerque public schools,45532,45,2009,45510,55,95934,1029988,842884,8786.0821,12652.042
92,North carolina,Cumberland county schools,27216,75,2009,27564,68,54288,474346,454577,8373.4343,9316.6814
93,North carolina,Guilford county schools,37554,80,2009,37842,67,72951,745883,660757,9057.5455,10521.007
94,North carolina,Charlotte-mecklenburg schools,69759,82,2009,70356,70,135064,1699290,1173350,8687.363,11995.439
95,North carolina,Wake county schools,73809,84,2009,74740,75,138443,1945241,1136475,8208.9741,11532.754
96,Pennsylvania,Philadelphia school district,81539,55,2009,80942,50,159867,2671065,1731025,10827.907,17276.999
97,South carolina,Greenville county school district,37336,79,2009,37271,83,70441,687992,556811,7904.6436,9682.2589
98,Tennessee,Memphis city schools,56501,18,2009,56377,26,111954,1045848,1027568,9178.484,10041.883
99,Alaska,Anchorage school district,28681,70,2010,28655,79,49592,686143,665336,13416.19,15224.512
100,Arizona,Mesa unified school district,34376,67,2010,34404,80,67471,591990,539066,7989.595,8569.6373
101,Arizona,Tucson unified school district,27574,48,2010,27626,70,55369,520089,461316,8331.665,9531.9222
102,California,Capistrano unified school district,28640,73,2010,28635,76,53381,392522,383568,7185.477,7481.3136
103,California,Elk grove unified school district,33405,61,2010,33451,60,62483,542045,524393,8392.57,9325.5445
104,California,Fresno unified school district,38171,46,2010,38239,40,75468,742921,711048,9421.847,10317.194
105,California,Garden grove unified school district,26055,67,2010,26038,58,47950,421942,429354,8954.202,9423.9208
106,California,Long beach unified school district,44499,58,2010,44428,53,86283,857736,772061,8948.008,9910.1793
107,California,Los angeles unified school district,349051,51,2010,348357,46,670746,8436592,7302040,10886.44,14514.879
108,California,Sacramento city unified school district,24890,56,2010,24924,50,47890,481658,454761,9495.949,10529.129
109,California,San bernardino city unified school district,28659,45,2010,28690,39,53837,649434,519942,9657.707,11111.968
110,California,San francisco unified school district,27473,61,2010,27521,58,55140,691374,573570,10402.06,14459.195
111,California,Santa ana unified school district,29631,57,2010,29698,45,56937,549756,487978,8570.49,9928.0784
112,Florida,Brevard county school district,36944,76,2010,42509,71,72412,666690,578816,7993.371,9198.3649
