,Name of reporting district,State,Total students ,Total revenues,Federal revenues,State revenues,Local revenues,Current expenditures  ,Instructional-related current expenditures,"Current 
expenditures
per pupil",Total expenditures,"Total
expenditures
per pupil",Year
353,Pasco County School Board, Florida ,66994,666094,115324,308518,242252,587360,385663,8767.352,652263,9736.1405,2011.0
354,North East Independent School District 910, Texas ,66604,685916,74207,205551,406158,559887,380222,8406.206,707237,10618.536,2011.0
355,Mesa Unified School District, Arizona ,65123,610696,105472,226297,278927,490380,300072,7530.058,547057,8400.3655,2011.0
356,Arlington Independent School District, Texas ,64484,591620,117878,207768,265974,501627,351488,7779.092,578168,8966.0691,2011.0
357,Washoe County School District, Nevada ,64380,618416,71782,220100,326534,546408,340718,8487.232,620301,9634.9953,2011.0
358,El Paso Independent School District 902, Texas ,64330,595870,95837,308398,191635,533719,359722,8296.58,580997,9031.5094,2011.0
359,Seminole County School District, Florida ,64229,577531,89063,246450,242018,526359,359026,8195.036,564732,8792.4769,2011.0
360,Aldine Independent School District 902, Texas ,63154,603132,116869,306953,179310,536703,355371,8498.321,625744,9908.2243,2011.0
361,Loudoun County Public Schools, Virginia ,63142,917398,37168,206991,673239,737200,505779,11675.27,901613,14279.133,2011.0
362,Elk Grove Unified School District, California ,62455,580280,64944,392077,123259,489061,332716,7830.614,532212,8521.5275,2011.0
363,Mobile County School District, Alabama ,62016,587680,110840,318759,158081,542579,330131,8749.016,581480,9376.29,2011.0
364,Volusia County School District, Florida ,61559,608890,104082,210594,294214,521732,345861,8475.316,606167,9846.9273,2011.0
365,Douglas County School District Re 1, Colorado ,61465,597377,34224,244262,318891,463916,292190,7547.645,536544,8729.2606,2011.0
366,Katy Independent School District 914, Texas ,60803,599020,56482,214508,328030,488484,328224,8033.879,641117,10544.167,2011.0
367,Chesterfield County Public Schools, Virginia ,59243,563296,44087,256860,262349,498880,333373,8420.91,554114,9353.24,2011.0
368,Knox County School District, Tennessee ,57977,480087,58015,159097,262975,440035,302661,7589.82,477726,8239.9227,2011.0
369,Garland Independent School District 909, Texas ,57833,545423,93503,268384,183536,455996,309384,7884.702,501606,8673.3526,2011.0
370,Santa Ana Unified School District, California ,57319,648953,105933,423317,119703,519593,360300,9064.934,614788,10725.728,2011.0
371,Boston City Schools, Massachusetts ,56037,1250911,151199,325583,774129,1074823,733814,19180.59,1225600,21871.264,2011.0
372,San Francisco Unified School District, California ,55571,684462,82824,168042,433596,546752,360011,9838.8,755808,13600.763,2011.0
373,Plano Independent School District 910, Texas ,55568,633556,56088,103322,474146,468456,330167,8430.319,662042,11914.087,2011.0
374,San Antonio Independent School District 907, Texas ,55116,578043,155469,262694,159880,498348,327175,9041.802,571832,10375.064,2011.0
375,San Bernardino City Unified School District, California ,54518,600660,95741,456226,48693,506455,317080,9289.684,606453,11123.904,2011.0
376,Forsyth County-Winston Salem Schools, North Carolina ,53367,590947,70338,256078,264531,459150,318656,8603.631,556853,10434.407,2011.0
377,Osceola County School District, Florida ,53357,509748,91019,231919,186810,446219,304461,8362.895,552108,10347.433,2011.0
378,Cumberland County Schools, North Carolina ,53307,501648,89294,261340,151014,435393,299648,8167.651,478633,8978.802,2011.0
379,Tucson Unified School District 1, Arizona ,53275,522657,86179,188104,248374,436947,218242,8201.726,515127,9669.2069,2011.0
380,Capistrano Unified School District, California ,53192,416481,29877,116954,269650,385140,270095,7240.562,404785,7609.8849,2011.0
381,Corona Norco Unified School District, California ,53149,492882,53014,321898,117970,383385,261130,7213.4,477805,8989.9151,2011.0
382,Cherry Creek School District 5, Colorado ,52232,537255,42944,205212,289099,471294,335635,9023.089,579158,11088.183,2011.0
383,Pasadena Independent School District 917, Texas ,52218,506146,96482,263595,146069,446410,289679,8548.967,478268,9159.0639,2011.0
384,Lewisville Independent School District 902, Texas ,51484,547507,51783,145955,349769,436883,301123,8485.801,577430,11215.718,2011.0
385,Conroe Independent School District 902, Texas ,51170,472852,52409,145180,275263,375971,249375,7347.488,516802,10099.707,2011.0
386,Columbus City School District, Ohio ,51134,980035,175203,346719,458113,726788,441681,14213.4,916172,17917.081,2011.0
387,Howard County Public Schools, Maryland ,50994,890726,39988,263585,587153,772020,547068,15139.42,863087,16925.266,2011.0
388,Clayton County School District, Georgia ,50366,500420,64312,227072,209036,434311,291821,8623.098,453120,8996.5453,2011.0
389,Jordan School District, Utah ,50048,339004,36432,174052,128520,276322,186589,5521.139,341624,6825.9271,2011.0
390,Brownsville Independent School District 901, Texas ,49879,504356,117817,328668,57871,472744,315542,9477.816,536120,10748.411,2011.0
391,Atlanta Public Schools, Georgia ,49796,757348,103765,135631,517952,721187,386625,14482.82,941537,18907.884,2011.0
392,Omaha City School District 1, Nebraska ,49405,620026,130856,188449,300721,529106,357838,10709.56,561788,11371.076,2011.0
393,Henrico County Public Schools, Virginia ,49405,562102,45035,200929,316138,432610,291312,8756.401,513107,10385.73,2011.0
394,Wichita Unified School District 259, Kansas ,49329,586367,98180,326792,161395,513992,323155,10419.67,723975,14676.458,2011.0
395,Anchorage School District, Alaska ,49206,732488,114561,407204,210723,710465,448605,14438.58,768723,15622.546,2011.0
396,Garden Grove Unified School District, California ,48659,451091,62943,293712,94436,411982,280931,8466.717,426708,8769.3541,2011.0
397,Sacramento City Unified School District, California ,47897,512325,101180,303514,107631,463751,312351,9682.255,500750,10454.726,2011.0
398,Seattle School District 1, Washington ,47735,679225,68850,307730,302645,532458,335777,11154.45,680031,14245.962,2011.0
399,Shelby County School District, Tennessee ,47706,398743,35054,180615,183074,377698,262062,7917.201,446059,9350.1656,2011.0
