,"Current 
expenditures
per pupil",Current expenditures  ,Federal revenues,Instructional-related current expenditures,Local revenues,Name of reporting district,State,State revenues,"Total
expenditures
per pupil",Total expenditures,Total revenues,Total students ,Year
37,9176.793,843017,93481,565467,714136,fulton county school district,georgia,311031,10481.44,962867,1118648,91864,2011
38,8815.117,757915,76726,494110,445595,jefferson county school district no. r-,colorado,334813,9694.123,833491,857134,85979,2011
39,9431.917,808287,155833,528071,757426,austin independent school district,texas,183304,12368.683,1059959,1096563,85697,2011
40,8699.488,737821,149698,502914,152614,long beach unified school district,california,549490,9902.1011,839817,851802,84812,2011
42,15482.93,1297470,279303,848657,268781,baltimore city public schools,maryland,892935,17329.224,1452189,1441019,83800,2011
43,8987.982,736718,142228,479548,491541,lee county school district,florida,193442,10058.084,824431,827211,81967,2011
44,9105.326,743459,181849,485333,352225,fort worth independent school district,texas,301792,12610.88,1029691,835866,81651,2011
45,14243.75,1152804,265333,751839,339418,milwaukee school district,wisconsin,706087,16045.432,1298621,1310838,80934,2011
46,9835.479,780524,72626,498657,470510,prince william county public schools,virginia,359029,11927.191,946518,902165,79358,2011
54,9800.385,772094,130054,511857,464709,nashville davidson county schools,tennessee,227502,10842.337,854181,822265,78782,2011
55,10468.11,820062,161894,482869,576416,denver school district,colorado,237903,14064.17,1101773,976213,78339,2011
56,13415.85,1043177,451471,666344,237594,detroit city school district,michigan,561782,18533.148,1441082,1250847,77757,2011
57,13019.23,982705,78339,665968,663991,anne arundel county public schools,maryland,360457,15174.256,1145368,1102787,75481,2011
58,9263.025,693180,139750,467705,106504,fresno unified school district,california,522298,10285.836,769720,768552,74833,2011
60,8683.71,635691,96060,410035,348177,guilford county schools,north carolina,350991,10311.154,754828,795228,73205,2011
61,7514.68,540531,82614,335854,292853,greenville county school district,south carolina,325636,9119.6997,655980,701103,71930,2011
62,8163.637,586688,108726,407927,273325,brevard county school district,florida,283017,8917.1235,640838,665068,71866,2011
63,10311.04,733992,88488,496033,370188,virginia beach city public schools,virginia,311064,11864.115,844547,769740,71185,2011
64,6009.331,421152,68178,295161,162216,granite school district,utah,243842,7648.474,536028,474236,70083,2011
66,7556.941,521036,55659,357687,345313,fort bend independent school district,texas,222384,9334.4695,643593,623356,68948,2011
67,5900.936,398030,51425,268739,163006,davis county school district,utah,240514,7339.5007,495064,454945,67452,2011
68,5360.829,359583,48206,255935,149485,alpine school district,utah,238928,6547.7667,439198,436619,67076,2011
69,8767.352,587360,115324,385663,242252,pasco county school board,florida,308518,9736.1405,652263,666094,66994,2011
70,8406.206,559887,74207,380222,406158,north east independent school district,texas,205551,10618.536,707237,685916,66604,2011
72,7530.058,490380,105472,300072,278927,mesa unified school district,arizona,226297,8400.3655,547057,610696,65123,2011
73,7779.092,501627,117878,351488,265974,arlington independent school district,texas,207768,8966.0691,578168,591620,64484,2011
74,8487.232,546408,71782,340718,326534,washoe county school district,nevada,220100,9634.9953,620301,618416,64380,2011
75,8296.58,533719,95837,359722,191635,el paso independent school district,texas,308398,9031.5094,580997,595870,64330,2011
76,8195.036,526359,89063,359026,242018,seminole county school district,florida,246450,8792.4769,564732,577531,64229,2011
78,8498.321,536703,116869,355371,179310,aldine independent school district,texas,306953,9908.2243,625744,603132,63154,2011
79,11675.27,737200,37168,505779,673239,loudoun county public schools,virginia,206991,14279.133,901613,917398,63142,2011
80,7830.614,489061,64944,332716,123259,elk grove unified school district,california,392077,8521.5275,532212,580280,62455,2011
81,8749.016,542579,110840,330131,158081,mobile county school district,alabama,318759,9376.29,581480,587680,62016,2011
82,8475.316,521732,104082,345861,294214,volusia county school district,florida,210594,9846.9273,606167,608890,61559,2011
84,7547.645,463916,34224,292190,318891,douglas county school district re,colorado,244262,8729.2606,536544,597377,61465,2011
85,8033.879,488484,56482,328224,328030,katy independent school district,texas,214508,10544.167,641117,599020,60803,2011
86,8420.91,498880,44087,333373,262349,chesterfield county public schools,virginia,256860,9353.24,554114,563296,59243,2011
87,7589.82,440035,58015,302661,262975,knox county school district,tennessee,159097,8239.9227,477726,480087,57977,2011
88,7884.702,455996,93503,309384,183536,garland independent school district,texas,268384,8673.3526,501606,545423,57833,2011
90,9064.934,519593,105933,360300,119703,santa ana unified school district,california,423317,10725.728,614788,648953,57319,2011
91,19180.59,1074823,151199,733814,774129,boston city schools,massachusetts,325583,21871.264,1225600,1250911,56037,2011
92,9838.8,546752,82824,360011,433596,san francisco unified school district,california,168042,13600.763,755808,684462,55571,2011
93,8430.319,468456,56088,330167,474146,plano independent school district,texas,103322,11914.087,662042,633556,55568,2011
94,9041.802,498348,155469,327175,159880,san antonio independent school district,texas,262694,10375.064,571832,578043,55116,2011
96,9289.684,506455,95741,317080,48693,san bernardino city unified school district,california,456226,11123.904,606453,600660,54518,2011
97,8603.631,459150,70338,318656,264531,forsyth county-winston salem schools,north carolina,256078,10434.407,556853,590947,53367,2011
98,8362.895,446219,91019,304461,186810,osceola county school district,florida,231919,10347.433,552108,509748,53357,2011
99,8167.651,435393,89294,299648,151014,cumberland county schools,north carolina,261340,8978.802,478633,501648,53307,2011
100,8201.726,436947,86179,218242,248374,tucson unified school district,arizona,188104,9669.2069,515127,522657,53275,2011
108,7240.562,385140,29877,270095,269650,capistrano unified school district,california,116954,7609.8849,404785,416481,53192,2011
109,7213.4,383385,53014,261130,117970,corona norco unified school district,california,321898,8989.9151,477805,492882,53149,2011
110,9023.089,471294,42944,335635,289099,cherry creek school district,colorado,205212,11088.183,579158,537255,52232,2011
111,8548.967,446410,96482,289679,146069,pasadena independent school district,texas,263595,9159.0639,478268,506146,52218,2011
112,8485.801,436883,51783,301123,349769,lewisville independent school district,texas,145955,11215.718,577430,547507,51484,2011
114,7347.488,375971,52409,249375,275263,conroe independent school district,texas,145180,10099.707,516802,472852,51170,2011
115,14213.4,726788,175203,441681,458113,columbus city school district,ohio,346719,17917.081,916172,980035,51134,2011
116,15139.42,772020,39988,547068,587153,howard county public schools,maryland,263585,16925.266,863087,890726,50994,2011
117,8623.098,434311,64312,291821,209036,clayton county school district,georgia,227072,8996.5453,453120,500420,50366,2011
118,5521.139,276322,36432,186589,128520,jordan school district,utah,174052,6825.9271,341624,339004,50048,2011
120,9477.816,472744,117817,315542,57871,brownsville independent school district,texas,328668,10748.411,536120,504356,49879,2011
121,14482.82,721187,103765,386625,517952,atlanta public schools,georgia,135631,18907.884,941537,757348,49796,2011
122,10709.56,529106,130856,357838,300721,omaha city school district,nebraska,188449,11371.076,561788,620026,49405,2011
123,8756.401,432610,45035,291312,316138,henrico county public schools,virginia,200929,10385.73,513107,562102,49405,2011
124,10419.67,513992,98180,323155,161395,wichita unified school district,kansas,326792,14676.458,723975,586367,49329,2011
126,14438.58,710465,114561,448605,210723,anchorage school district,alaska,407204,15622.546,768723,732488,49206,2011
127,8466.717,411982,62943,280931,94436,garden grove unified school district,california,293712,8769.3541,426708,451091,48659,2011
128,9682.255,463751,101180,312351,107631,sacramento city unified school district,california,303514,10454.726,500750,512325,47897,2011
129,11154.45,532458,68850,335777,302645,seattle school district,washington,307730,14245.962,680031,679225,47735,2011
130,7917.201,377698,35054,262062,183074,shelby county school district,tennessee,180615,9350.1656,446059,398743,47706,2011
